2000	4840	7680	!Air Flow Rate (l/s)			
240784	159614	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],22.22 [C], and 35 [C]"			
236866	157986	99064	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],22.22 [C], and 37.78 [C]"			
230966	156310	102175	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],22.22 [C], and 40.56 [C]"			
222067	153021	108914	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],22.22 [C], and 46.11 [C]"			
245233	178879	90246	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],23.33 [C], and 29.44 [C]"			
242267	177235	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],23.33 [C], and 32.22 [C]"			
240784	177235	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],23.33 [C], and 35 [C]"			
236866	174478	99064	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],23.33 [C], and 37.78 [C]"			
230966	172834	102175	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],23.33 [C], and 40.56 [C]"			
222067	169529	108914	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],23.33 [C], and 46.11 [C]"			
245233	195403	90246	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],24.44 [C], and 29.44 [C]"			
242267	195403	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],24.44 [C], and 32.22 [C]"			
240784	193726	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],24.44 [C], and 35 [C]"			
236866	192098	99064	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],24.44 [C], and 37.78 [C]"			
230966	190454	102175	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],24.44 [C], and 40.56 [C]"			
222067	185489	108914	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],24.44 [C], and 46.11 [C]"			
