   329
  8551 11648 15538 19388 22026 22973 21665 20207 17128 14429 10232  8044
    49    49    66    94   121   159   173   161   147   108    60    49
   8.4   9.9  13.4  18.7  22.6  26.3  27.6  27.3  24.4  18.8  12.9   9.4
   102JACKSONVILLE    FL        30.50       .00       .00
 10213 13214 17270 21060 22202 21395 20451 19227 16369 13881 11303  9279
    67    62    88   114   139   154   176   162   154   139    98    67
  12.6  13.5  16.2  20.1  23.5  26.2  27.2  27.2  25.7  21.4  16.2  13.0
   103JUNEAU          AK        58.37       .00       .00
  1320  3205  6923 11870 14655 16052 14508 11173  7250  3636  1687   702
    34    38    34    38    54    67    72    72    64    48    42    38
  -4.7  -2.2   -.1   3.8   8.2  11.8  13.2  12.4   9.6   5.4    .3  -2.6
   104KANSAS CITY     MO        39.30       .00       .00
